id,operator,difficulty,status,statement
GPB-001,slope,1,candidate,"For any DEM cell with finite elevation gradient, the slope magnitude is non-negative."
GPB-002,slope,2,candidate,The slope magnitude of a constant-elevation surface is identically zero everywhere.
GPB-003,aspect,2,candidate,Aspect is defined modulo 360 degrees and is undefined only where the gradient vanishes.
GPB-004,aspect,3,candidate,"For an east-facing planar slope, the computed aspect equals 90 degrees under the cartographic convention."
GPB-005,curvature,3,candidate,Profile curvature is non-negative at a local elevation maximum of a smooth DEM.
GPB-006,curvature,3,candidate,Plan (tangential) curvature is non-negative at a local elevation minimum of a smooth DEM.
GPB-007,curvature,4,candidate,"For a quadratic bump h = A - k*(x^2+y^2), the profile curvature at the apex equals -2k up to a sign convention."
GPB-008,hillshade,2,candidate,"Hillshade lies in [0,255] for any finite slope and any azimuth/altitude in their domains."
GPB-009,hillshade,3,candidate,Hillshade of a flat surface equals 255 * sin(altitude) under the standard Horn shading model.
GPB-010,flowdir,3,candidate,D8 flow direction at a local pit points to no downslope neighbor (undefined / no-flow).
GPB-011,flowdir,4,candidate,On a uniform planar slope the D8 flow direction is constant across all interior cells.
GPB-012,viewshed,4,candidate,"If point B is visible from A, then A is visible from B only when the line of sight is unobstructed in both directions (symmetry under mutual obstruction)."
GPB-013,viewshed,5,candidate,Visibility is a reflexive relation only on the diagonal; for distinct points it is not guaranteed symmetric.
GPB-014,contour,3,candidate,A closed contour encloses a region whose interior elevation is either entirely above or entirely below the contour level.
GPB-015,watershed,4,candidate,Every interior cell belongs to exactly one watershed basin under a deterministic flow-routing rule.
GPB-016,tpi,2,candidate,Topographic Position Index is zero on a planar (constant-curvature) surface.
GPB-017,ruggedness,2,candidate,Terrain Ruggedness Index is non-negative and zero on a planar surface.
GPB-018,resampling,3,candidate,Bilinear resampling of a planar surface at a coarser resolution preserves the plane (no introduced curvature).
GPB-019,slope,4,candidate,The Horn (1981) finite-difference slope operator is a consistent estimator of the analytic slope as the grid spacing tends to zero.
GPB-020,curvature,5,candidate,The discrete profile-curvature operator converges to the analytic profile curvature of a C^2 surface in the limit of vanishing grid spacing.
